,Year,Month,Manufacturer,Model,Quantity
585,2009,6,Volkswagen ,Volkswagen Passat,233
586,2009,6,Volvo ,Volvo V70,216
587,2009,6,Nissan ,Nissan Qashqai,202
588,2009,6,Volvo ,Volvo V50,191
589,2009,6,Ford ,Ford Focus,190
590,2009,6,BMW ,BMW 3-serie,188
591,2009,6,Audi ,Audi A4,186
592,2009,6,Skoda ,Skoda Octavia,182
593,2009,6,Hyundai ,Hyundai i30,147
594,2009,6,Volkswagen ,Volkswagen Tiguan,141
595,2009,6,Mazda ,Mazda 6,123
596,2009,6,Peugeot ,Peugeot 308,114
597,2009,6,Honda ,Honda CR-V,109
598,2009,6,Volvo ,Volvo XC60,109
599,2009,6,Toyota ,Toyota Yaris,99
600,2009,6,Toyota ,Toyota Auris,96
601,2009,7,Volkswagen ,Volkswagen Golf,482
602,2009,7,Volkswagen ,Volkswagen Passat,448
603,2009,7,Toyota ,Toyota Avensis,443
604,2009,7,Volvo ,Volvo V70,406
605,2009,7,Ford ,Ford Mondeo,339
606,2009,7,Nissan ,Nissan Qashqai,325
607,2009,7,Toyota ,Toyota Auris,288
608,2009,7,Volvo ,Volvo V50,252
609,2009,7,Audi ,Audi A4,246
610,2009,7,Opel ,Opel Insignia,236
611,2009,7,Volkswagen ,Volkswagen Tiguan,205
612,2009,7,Skoda ,Skoda Octavia,195
613,2009,7,Ford ,Ford Focus,195
614,2009,7,Volvo ,Volvo XC60,178
615,2009,7,Honda ,Honda CR-V,173
616,2009,7,BMW ,BMW 3-serie,169
617,2009,7,Hyundai ,Hyundai i30,165
618,2009,7,Peugeot ,Peugeot 308,138
619,2009,7,Toyota ,Toyota Yaris,113
620,2009,7,Mazda ,Mazda 6,89
621,2009,8,Volkswagen ,Volkswagen Golf,453
622,2009,8,Toyota ,Toyota Avensis,343
623,2009,8,Nissan ,Nissan Qashqai,323
624,2009,8,Volkswagen ,Volkswagen Passat,298
625,2009,8,Audi ,Audi A4,224
626,2009,8,Toyota ,Toyota Auris,219
627,2009,8,BMW ,BMW 3-serie,194
628,2009,8,Volkswagen ,Volkswagen Tiguan,190
629,2009,8,Ford ,Ford Mondeo,184
630,2009,8,Toyota ,Toyota Yaris,174
631,2009,8,Skoda ,Skoda Octavia,169
632,2009,8,Volvo ,Volvo V70,169
633,2009,8,Hyundai ,Hyundai i30,165
634,2009,8,Ford ,Ford Focus,154
635,2009,8,Opel ,Opel Insignia,116
636,2009,8,Peugeot ,Peugeot 308,99
637,2009,8,Honda ,Honda CR-V,99
638,2009,8,Mazda ,Mazda 6,90
639,2009,8,Volvo ,Volvo V50,69
640,2009,8,Volvo ,Volvo XC60,58
641,2009,9,Toyota ,Toyota Prius,515
642,2009,9,Volkswagen ,Volkswagen Golf,450
643,2009,9,Ford ,Ford Mondeo,398
644,2009,9,Volvo ,Volvo V70,347
645,2009,9,Toyota ,Toyota Avensis,318
646,2009,9,Nissan ,Nissan Qashqai,302
647,2009,9,Volkswagen ,Volkswagen Passat,276
648,2009,9,Volvo ,Volvo V50,243
649,2009,9,Volkswagen ,Volkswagen Tiguan,238
650,2009,9,Ford ,Ford Focus,229
651,2009,9,BMW ,BMW 3-serie,198
652,2009,9,Skoda ,Skoda Octavia,194
653,2009,9,Toyota ,Toyota Auris,166
654,2009,9,Mazda ,Mazda 6,164
655,2009,9,Audi ,Audi A4,133
656,2009,9,Opel ,Opel Insignia,132
657,2009,9,Toyota ,Toyota Yaris,125
658,2009,9,Hyundai ,Hyundai i30,123
659,2009,9,Honda ,Honda CR-V,72
660,2009,9,Peugeot ,Peugeot 308,62
661,2009,10,Volkswagen ,Volkswagen Golf,632
662,2009,10,Ford ,Ford Mondeo,395
663,2009,10,Toyota ,Toyota Avensis,345
664,2009,10,Skoda ,Skoda Octavia,318
665,2009,10,Nissan ,Nissan Qashqai,307
666,2009,10,Toyota ,Toyota Prius,290
667,2009,10,Volvo ,Volvo V70,288
668,2009,10,Ford ,Ford Focus,278
669,2009,10,Volkswagen ,Volkswagen Passat,254
670,2009,10,Volvo ,Volvo V50,220
671,2009,10,Audi ,Audi A4,217
672,2009,10,Volkswagen ,Volkswagen Tiguan,193
673,2009,10,BMW ,BMW 3-serie,175
674,2009,10,Opel ,Opel Insignia,167
675,2009,10,Toyota ,Toyota Auris,162
676,2009,10,Toyota ,Toyota Yaris,158
677,2009,10,Hyundai ,Hyundai i30,125
678,2009,10,Honda ,Honda CR-V,71
679,2009,10,Peugeot ,Peugeot 308,69
680,2009,10,Mazda ,Mazda 6,68
681,2009,11,Volkswagen ,Volkswagen Golf,567
682,2009,11,Volvo ,Volvo V70,538
683,2009,11,Ford ,Ford Mondeo,335
684,2009,11,Volkswagen ,Volkswagen Tiguan,325
685,2009,11,Toyota ,Toyota Avensis,318
686,2009,11,Volkswagen ,Volkswagen Passat,311
687,2009,11,Nissan ,Nissan Qashqai,291
688,2009,11,Toyota ,Toyota Urban Cruiser,272
689,2009,11,Audi ,Audi A4,226
690,2009,11,Skoda ,Skoda Octavia,220
691,2009,11,Volvo ,Volvo V50,218
692,2009,11,Ford ,Ford Focus,215
693,2009,11,Toyota ,Toyota Prius,178
694,2009,11,Toyota ,Toyota Yaris,170
695,2009,11,Toyota ,Toyota Rav4,148
696,2009,11,Volvo ,Volvo XC60,145
697,2009,11,Toyota ,Toyota Auris,143
698,2009,11,Opel ,Opel Insignia,143
699,2009,11,BMW ,BMW 3-serie,130
700,2009,11,Peugeot ,Peugeot 308,85
701,2009,12,Volvo ,Volvo V70,668
702,2009,12,Volkswagen ,Volkswagen Golf,454
703,2009,12,Ford ,Ford Mondeo,421
704,2009,12,Volkswagen ,Volkswagen Passat,414
705,2009,12,Volvo ,Volvo XC60,384
706,2009,12,Volkswagen ,Volkswagen Tiguan,370
707,2009,12,Ford ,Ford Focus,277
708,2009,12,Toyota ,Toyota Avensis,257
709,2009,12,Audi ,Audi A4,257
710,2009,12,Nissan ,Nissan Qashqai,231
711,2009,12,Skoda ,Skoda Octavia,211
712,2009,12,Toyota ,Toyota Yaris,182
713,2009,12,Toyota ,Toyota Urban Cruiser,166
714,2009,12,Opel ,Opel Insignia,147
715,2009,12,Toyota ,Toyota Rav4,142
716,2009,12,BMW ,BMW 3-serie,130
717,2009,12,Toyota ,Toyota Auris,123
718,2009,12,Volvo ,Volvo V50,81
719,2009,12,Toyota ,Toyota Prius,78
720,2009,12,Peugeot ,Peugeot 308,39
721,2010,1,Volkswagen ,Volkswagen Golf,739
722,2010,1,Toyota ,Toyota Prius,403
723,2010,1,Toyota ,Toyota Avensis,347
724,2010,1,Peugeot ,Peugeot 3008,336
725,2010,1,Volkswagen ,Volkswagen Polo,310
726,2010,1,Ford ,Ford Fiesta,308
727,2010,1,Toyota ,Toyota Urban Cruiser,302
728,2010,1,Volvo ,Volvo V50,302
729,2010,1,Volkswagen ,Volkswagen Passat,299
730,2010,1,Nissan ,Nissan Qashqai,279
731,2010,1,Ford ,Ford Mondeo,226
732,2010,1,Peugeot ,Peugeot 308,211
733,2010,1,Skoda ,Skoda Octavia,197
734,2010,1,Toyota ,Toyota Auris,190
735,2010,1,Toyota ,Toyota Yaris,186
736,2010,1,Toyota ,Toyota Rav4,182
737,2010,1,Volvo ,Volvo V70,181
738,2010,1,Audi ,Audi A4,176
739,2010,1,Peugeot ,Peugeot 207,171
740,2010,1,Ford ,Ford Focus,166
741,2010,2,Volkswagen ,Volkswagen Golf,597
742,2010,2,Volvo ,Volvo V70,330
743,2010,2,Volvo ,Volvo V50,315
744,2010,2,Toyota ,Toyota Avensis,313
745,2010,2,Volkswagen ,Volkswagen Passat,311
746,2010,2,Skoda ,Skoda Octavia,272
747,2010,2,Nissan ,Nissan Qashqai,257
748,2010,2,Mitsubishi ,Mitsubishi Outlander,233
749,2010,2,Toyota ,Toyota Prius,204
750,2010,2,Peugeot ,Peugeot 3008,193
751,2010,2,Volkswagen ,Volkswagen Polo,188
752,2010,2,Toyota ,Toyota Urban Cruiser,178
753,2010,2,Ford ,Ford Mondeo,174
754,2010,2,Suzuki ,Suzuki SX4,164
755,2010,2,Toyota ,Toyota Yaris,153
756,2010,2,Toyota ,Toyota Auris,149
757,2010,2,Audi ,Audi A4,143
758,2010,2,Ford ,Ford Fiesta,138
759,2010,2,Toyota ,Toyota Rav4,120
760,2010,2,Peugeot ,Peugeot 308,98
761,2010,3,Volkswagen ,Volkswagen Golf,601
762,2010,3,Volvo ,Volvo V70,387
763,2010,3,Toyota ,Toyota Avensis,382
764,2010,3,Nissan ,Nissan Qashqai,381
765,2010,3,Volkswagen ,Volkswagen Passat,329
766,2010,3,Peugeot ,Peugeot 3008,308
767,2010,3,Ford ,Ford Mondeo,300
768,2010,3,Skoda ,Skoda Octavia,278
769,2010,3,Ford ,Ford Fiesta,266
770,2010,3,Volvo ,Volvo V50,241
771,2010,3,Toyota ,Toyota Auris,230
772,2010,3,Toyota ,Toyota Prius,222
773,2010,3,Volvo ,Volvo XC60,218
774,2010,3,Audi ,Audi A4,207
775,2010,3,Ford ,Ford Focus,204
776,2010,3,Opel ,Opel Astra,202
777,2010,3,Mitsubishi ,Mitsubishi Outlander,198
778,2010,3,Volkswagen ,Volkswagen Polo,188
779,2010,3,Toyota ,Toyota Urban Cruiser,158
780,2010,3,Toyota ,Toyota Yaris,140
781,2010,4,Volkswagen ,Volkswagen Golf,763
782,2010,4,Volvo ,Volvo V70,413
783,2010,4,Nissan ,Nissan Qashqai,386
784,2010,4,Volkswagen ,Volkswagen Passat,370
785,2010,4,Volkswagen ,Volkswagen Polo,324
786,2010,4,Toyota ,Toyota Avensis,297
787,2010,4,Skoda ,Skoda Octavia,272
788,2010,4,Mitsubishi ,Mitsubishi Outlander,265
789,2010,4,Audi ,Audi A4,259
790,2010,4,Volvo ,Volvo V50,252
791,2010,4,Volkswagen ,Volkswagen Tiguan,252
792,2010,4,Audi ,Audi A3,235
793,2010,4,Peugeot ,Peugeot 3008,220
794,2010,4,Opel ,Opel Astra,211
795,2010,4,Toyota ,Toyota Prius,200
796,2010,4,Toyota ,Toyota Auris,192
797,2010,4,Ford ,Ford Mondeo,179
798,2010,4,Toyota ,Toyota Urban Cruiser,141
799,2010,4,Ford ,Ford Focus,132
800,2010,4,Ford ,Ford Fiesta,109
801,2010,5,Volkswagen ,Volkswagen Golf,559
802,2010,5,Volvo ,Volvo V70,395
803,2010,5,Nissan ,Nissan Qashqai,381
804,2010,5,Volkswagen ,Volkswagen Passat,334
805,2010,5,Ford ,Ford Mondeo,290
806,2010,5,Toyota ,Toyota Avensis,289
807,2010,5,Volkswagen ,Volkswagen Polo,279
808,2010,5,Mitsubishi ,Mitsubishi Outlander,236
809,2010,5,Audi ,Audi A4,213
810,2010,5,Toyota ,Toyota Auris,212
811,2010,5,Ford ,Ford Fiesta,200
812,2010,5,Peugeot ,Peugeot 3008,199
813,2010,5,Ford ,Ford Focus,199
814,2010,5,Volkswagen ,Volkswagen Tiguan,187
815,2010,5,Skoda ,Skoda Octavia,178
816,2010,5,Audi ,Audi A3,175
817,2010,5,Toyota ,Toyota Prius,173
818,2010,5,Opel ,Opel Astra,164
819,2010,5,Volvo ,Volvo V50,162
820,2010,5,Toyota ,Toyota Urban Cruiser,134
821,2010,6,Volkswagen ,Volkswagen Golf,671
822,2010,6,Ford ,Ford Mondeo,472
823,2010,6,Nissan ,Nissan Qashqai,424
824,2010,6,Volvo ,Volvo V70,373
825,2010,6,Toyota ,Toyota Avensis,353
826,2010,6,Skoda ,Skoda Octavia,263
827,2010,6,Volkswagen ,Volkswagen Passat,262
828,2010,6,Toyota ,Toyota Auris,256
829,2010,6,Ford ,Ford Focus,254
830,2010,6,Audi ,Audi A4,242
831,2010,6,Toyota ,Toyota Prius,220
832,2010,6,Mitsubishi ,Mitsubishi Outlander,217
833,2010,6,Opel ,Opel Astra,213
834,2010,6,Volvo ,Volvo V50,197
835,2010,6,Peugeot ,Peugeot 3008,193
836,2010,6,Ford ,Ford Fiesta,186
837,2010,6,Volkswagen ,Volkswagen Polo,179
838,2010,6,Volkswagen ,Volkswagen Tiguan,126
839,2010,6,Toyota ,Toyota Urban Cruiser,112
840,2010,6,Audi ,Audi A3,101
841,2010,7,Volkswagen ,Volkswagen Golf,893
842,2010,7,Toyota ,Toyota Avensis,416
843,2010,7,Volvo ,Volvo V70,356
844,2010,7,Volkswagen ,Volkswagen Passat,347
845,2010,7,Nissan ,Nissan Qashqai,312
846,2010,7,Ford ,Ford Mondeo,310
847,2010,7,Volkswagen ,Volkswagen Polo,310
848,2010,7,Toyota ,Toyota Auris,306
849,2010,7,Volvo ,Volvo V50,299
850,2010,7,Skoda ,Skoda Octavia,282
851,2010,7,Audi ,Audi A4,248
852,2010,7,Volvo ,Volvo XC60,245
853,2010,7,Ford ,Ford Focus,202
854,2010,7,Peugeot ,Peugeot 3008,201
855,2010,7,Toyota ,Toyota Prius,199
856,2010,7,Mitsubishi ,Mitsubishi Outlander,199
857,2010,7,Ford ,Ford Fiesta,196
858,2010,7,Volkswagen ,Volkswagen Tiguan,183
859,2010,7,Opel ,Opel Astra,134
860,2010,7,Toyota ,Toyota Urban Cruiser,100
861,2010,8,Volkswagen ,Volkswagen Golf,544
862,2010,8,Toyota ,Toyota Avensis,411
863,2010,8,Ford ,Ford Fiesta,369
864,2010,8,Volkswagen ,Volkswagen Polo,291
865,2010,8,Nissan ,Nissan Qashqai,280
866,2010,8,Toyota ,Toyota Auris,254
867,2010,8,Volkswagen ,Volkswagen Passat,249
868,2010,8,Ford ,Ford Mondeo,248
869,2010,8,Audi ,Audi A4,237
870,2010,8,Volkswagen ,Volkswagen Tiguan,218
871,2010,8,Ford ,Ford Focus,210
872,2010,8,Peugeot ,Peugeot 3008,203
873,2010,8,Volvo ,Volvo V70,194
874,2010,8,Skoda ,Skoda Octavia,177
875,2010,8,Toyota ,Toyota Rav4,174
876,2010,8,Volvo ,Volvo V50,164
877,2010,8,Toyota ,Toyota Urban Cruiser,157
878,2010,8,Opel ,Opel Astra,144
879,2010,8,Mitsubishi ,Mitsubishi Outlander,141
880,2010,8,Toyota ,Toyota Prius,125
881,2010,9,Volkswagen ,Volkswagen Golf,670
882,2010,9,Volvo ,Volvo V70,463
883,2010,9,Toyota ,Toyota Auris,403
884,2010,9,Nissan ,Nissan Qashqai,367
885,2010,9,Ford ,Ford Focus,327
886,2010,9,Toyota ,Toyota Avensis,318
887,2010,9,Ford ,Ford Mondeo,267
888,2010,9,Skoda ,Skoda Octavia,258
889,2010,9,Ford ,Ford Fiesta,250
890,2010,9,Volkswagen ,Volkswagen Passat,235
891,2010,9,Volkswagen ,Volkswagen Tiguan,235
892,2010,9,Volkswagen ,Volkswagen Polo,210
893,2010,9,Peugeot ,Peugeot 3008,160
894,2010,9,Toyota ,Toyota Rav4,160
895,2010,9,Volvo ,Volvo V50,149
896,2010,9,Audi ,Audi A4,144
897,2010,9,Toyota ,Toyota Yaris,144
898,2010,9,Toyota ,Toyota Prius,131
899,2010,9,Mitsubishi ,Mitsubishi Outlander,122
900,2010,9,Opel ,Opel Astra,90
901,2010,10,Volkswagen ,Volkswagen Golf,742
902,2010,10,Volvo ,Volvo V70,393
903,2010,10,Nissan ,Nissan Qashqai,315
904,2010,10,Toyota ,Toyota Avensis,299
905,2010,10,Ford ,Ford Fiesta,299
906,2010,10,Volkswagen ,Volkswagen Polo,297
907,2010,10,Toyota ,Toyota Auris,273
908,2010,10,Skoda ,Skoda Octavia,258
909,2010,10,Volkswagen ,Volkswagen Tiguan,208
910,2010,10,Volvo ,Volvo V50,191
911,2010,10,Toyota ,Toyota Rav4,186
912,2010,10,Peugeot ,Peugeot 3008,183
913,2010,10,Audi ,Audi A4,178
914,2010,10,Ford ,Ford Focus,174
915,2010,10,Volkswagen ,Volkswagen Passat,168
916,2010,10,Toyota ,Toyota Prius,155
917,2010,10,Ford ,Ford Mondeo,147
918,2010,10,Toyota ,Toyota Yaris,136
919,2010,10,Toyota ,Toyota Urban Cruiser,133
920,2010,10,Mitsubishi ,Mitsubishi Outlander,123
921,2010,11,Volkswagen ,Volkswagen Golf,913
922,2010,11,Volvo ,Volvo V70,492
923,2010,11,Ford ,Ford Mondeo,424
924,2010,11,Toyota ,Toyota Avensis,354
925,2010,11,Skoda ,Skoda Octavia,323
926,2010,11,Volkswagen ,Volkswagen Polo,318
927,2010,11,Nissan ,Nissan Qashqai,306
928,2010,11,Mitsubishi ,Mitsubishi Outlander,283
929,2010,11,Toyota ,Toyota Auris,270
930,2010,11,Ford ,Ford Focus,209
931,2010,11,Audi ,Audi A4,205
932,2010,11,Toyota ,Toyota Rav4,205
933,2010,11,Toyota ,Toyota Urban Cruiser,202
934,2010,11,Toyota ,Toyota Yaris,187
935,2010,11,Ford ,Ford Fiesta,173
936,2010,11,Peugeot ,Peugeot 3008,165
937,2010,11,Volkswagen ,Volkswagen Tiguan,162
938,2010,11,Volvo ,Volvo V50,147
939,2010,11,Toyota ,Toyota Prius,105
940,2010,11,Volkswagen ,Volkswagen Passat,80
941,2010,12,Volvo ,Volvo V70,658
942,2010,12,Volkswagen ,Volkswagen Golf,537
943,2010,12,Ford ,Ford Mondeo,385
944,2010,12,Ford ,Ford Focus,303
945,2010,12,Volvo ,Volvo XC60,284
946,2010,12,Skoda ,Skoda Octavia,256
947,2010,12,Mitsubishi ,Mitsubishi Outlander,252
948,2010,12,Nissan ,Nissan Qashqai,182
949,2010,12,Volkswagen ,Volkswagen Passat,178
950,2010,12,Audi ,Audi A4,161
951,2010,12,Toyota ,Toyota Avensis,142
952,2010,12,Toyota ,Toyota Auris,142
953,2010,12,Volkswagen ,Volkswagen Polo,138
954,2010,12,Volvo ,Volvo V50,127
955,2010,12,Volkswagen ,Volkswagen Tiguan,124
956,2010,12,Ford ,Ford Fiesta,117
957,2010,12,Peugeot ,Peugeot 3008,115
958,2010,12,Toyota ,Toyota Rav4,88
959,2010,12,Toyota ,Toyota Yaris,74
960,2010,12,Toyota ,Toyota Prius,71
961,2011,1,Volkswagen ,Volkswagen Golf,637
962,2011,1,Toyota ,Toyota Avensis,414
963,2011,1,Toyota ,Toyota Auris,409
964,2011,1,Nissan ,Nissan Qashqai,303
965,2011,1,Volkswagen ,Volkswagen Polo,301
966,2011,1,Volkswagen ,Volkswagen Passat,269
967,2011,1,Skoda ,Skoda Octavia,257
968,2011,1,Ford ,Ford Mondeo,245
969,2011,1,Ford ,Ford Focus,206
970,2011,1,Volvo ,Volvo V70,203
971,2011,1,Mitsubishi ,Mitsubishi ASX,202
972,2011,1,Suzuki ,Suzuki Swift,199
973,2011,1,Toyota ,Toyota Rav4,194
974,2011,1,Volkswagen ,Volkswagen Touran,186
975,2011,1,Toyota ,Toyota Prius,173
976,2011,1,Suzuki ,Suzuki SX4,171
977,2011,1,BMW ,BMW X1,168
978,2011,1,Opel ,Opel Astra,168
979,2011,1,Peugeot ,Peugeot 3008,167
980,2011,1,Volkswagen ,Volkswagen Tiguan,158
981,2011,1,Volvo ,Volvo V50,158
982,2011,2,Volkswagen ,Volkswagen Golf,532
983,2011,2,Toyota ,Toyota Avensis,326
984,2011,2,Volvo ,Volvo V70,323
985,2011,2,Volkswagen ,Volkswagen Passat,319
986,2011,2,Ford ,Ford Mondeo,313
987,2011,2,Toyota ,Toyota Auris,283
988,2011,2,Skoda ,Skoda Octavia,278
989,2011,2,Nissan ,Nissan Qashqai,272
990,2011,2,Volvo ,Volvo V50,251
991,2011,2,Mitsubishi ,Mitsubishi ASX,222
992,2011,2,Volkswagen ,Volkswagen Polo,200
993,2011,2,Peugeot ,Peugeot 3008,192
994,2011,2,Ford ,Ford Focus,191
995,2011,2,Volkswagen ,Volkswagen Tiguan,183
996,2011,2,Volvo ,Volvo XC60,177
997,2011,2,Toyota ,Toyota Rav4,167
998,2011,2,Toyota ,Toyota Yaris,164
999,2011,2,Volkswagen ,Volkswagen Touran,159
1000,2011,2,Opel ,Opel Astra,136
1001,2011,2,Suzuki ,Suzuki Swift,124
1002,2011,3,Volkswagen ,Volkswagen Golf,714
1003,2011,3,Volvo ,Volvo V70,404
1004,2011,3,Toyota ,Toyota Avensis,369
1005,2011,3,Volkswagen ,Volkswagen Passat,347
1006,2011,3,Mitsubishi ,Mitsubishi ASX,336
1007,2011,3,Toyota ,Toyota Auris,322
1008,2011,3,Ford ,Ford Focus,321
1009,2011,3,Volkswagen ,Volkswagen Tiguan,296
1010,2011,3,Nissan ,Nissan Qashqai,282
1011,2011,3,Ford ,Ford Mondeo,280
1012,2011,3,Volvo ,Volvo V50,257
1013,2011,3,Volkswagen ,Volkswagen Polo,252
1014,2011,3,Volvo ,Volvo XC60,240
1015,2011,3,Opel ,Opel Astra,213
1016,2011,3,Suzuki ,Suzuki Swift,212
1017,2011,3,Skoda ,Skoda Octavia,209
1018,2011,3,Toyota ,Toyota Yaris,188
1019,2011,3,Peugeot ,Peugeot 3008,177
1020,2011,3,Toyota ,Toyota Rav4,162
1021,2011,3,Volkswagen ,Volkswagen Touran,130
1022,2011,4,Volkswagen ,Volkswagen Golf,680
1023,2011,4,Mitsubishi ,Mitsubishi ASX,642
1024,2011,4,Volkswagen ,Volkswagen Passat,432
1025,2011,4,Volvo ,Volvo V70,345
1026,2011,4,Volkswagen ,Volkswagen Polo,335
1027,2011,4,Toyota ,Toyota Avensis,296
1028,2011,4,Toyota ,Toyota Auris,270
1029,2011,4,Ford ,Ford Focus,266
1030,2011,4,Nissan ,Nissan Qashqai,258
1031,2011,4,Skoda ,Skoda Octavia,238
1032,2011,4,Peugeot ,Peugeot 3008,222
1033,2011,4,Ford ,Ford Mondeo,202
1034,2011,4,Audi ,Audi A4,175
1035,2011,4,Opel ,Opel Astra,172
1036,2011,4,Volvo ,Volvo V50,156
1037,2011,4,Volvo ,Volvo XC60,146
1038,2011,4,Volkswagen ,Volkswagen Touran,139
1039,2011,4,Volkswagen ,Volkswagen Tiguan,138
1040,2011,4,Suzuki ,Suzuki Swift,128
1041,2011,4,Toyota ,Toyota Rav4,114
1042,2011,5,Volkswagen ,Volkswagen Golf,611
1043,2011,5,Volkswagen ,Volkswagen Passat,581
1044,2011,5,Mitsubishi ,Mitsubishi ASX,577
1045,2011,5,Volvo ,Volvo V60,401
1046,2011,5,Ford ,Ford Focus,359
1047,2011,5,Nissan ,Nissan Qashqai,349
1048,2011,5,Toyota ,Toyota Avensis,335
1049,2011,5,Volkswagen ,Volkswagen Polo,297
1050,2011,5,Ford ,Ford Mondeo,286
1051,2011,5,Toyota ,Toyota Auris,259
1052,2011,5,Audi ,Audi A4,242
1053,2011,5,Skoda ,Skoda Octavia,241
1054,2011,5,Volvo ,Volvo V70,239
1055,2011,5,Volvo ,Volvo V50,213
1056,2011,5,Opel ,Opel Astra,191
1057,2011,5,Peugeot ,Peugeot 3008,149
1058,2011,5,Toyota ,Toyota Rav4,118
1059,2011,5,Volvo ,Volvo XC60,115
1060,2011,5,Suzuki ,Suzuki Swift,101
1061,2011,5,Volkswagen ,Volkswagen Tiguan,81
1062,2011,6,Volkswagen ,Volkswagen Passat,411
1063,2011,6,Volkswagen ,Volkswagen Golf,391
1064,2011,6,Mitsubishi ,Mitsubishi ASX,363
1065,2011,6,Ford ,Ford Focus,325
1066,2011,6,Ford ,Ford Mondeo,310
1067,2011,6,Nissan ,Nissan Qashqai,307
1068,2011,6,Volvo ,Volvo V70,256
1069,2011,6,Volvo ,Volvo V60,255
1070,2011,6,Toyota ,Toyota Avensis,246
1071,2011,6,Skoda ,Skoda Octavia,245
1072,2011,6,Audi ,Audi A4,203
1073,2011,6,Peugeot ,Peugeot 508,191
1074,2011,6,Volvo ,Volvo V50,170
1075,2011,6,Opel ,Opel Astra,168
1076,2011,6,Toyota ,Toyota Auris,141
1077,2011,6,Volkswagen ,Volkswagen Polo,141
1078,2011,6,Peugeot ,Peugeot 3008,118
1079,2011,6,Toyota ,Toyota Yaris,117
1080,2011,6,Volvo ,Volvo XC60,89
1081,2011,6,Volkswagen ,Volkswagen Tiguan,55
1082,2011,7,Volkswagen ,Volkswagen Golf,636
1083,2011,7,Mitsubishi ,Mitsubishi ASX,477
1084,2011,7,Toyota ,Toyota Avensis,410
1085,2011,7,Volvo ,Volvo V70,384
1086,2011,7,Ford ,Ford Focus,352
1087,2011,7,Volkswagen ,Volkswagen Passat,329
1088,2011,7,Nissan ,Nissan Qashqai,305
1089,2011,7,Skoda ,Skoda Octavia,283
1090,2011,7,Volvo ,Volvo V50,255
1091,2011,7,Toyota ,Toyota Auris,236
1092,2011,7,Volkswagen ,Volkswagen Polo,236
1093,2011,7,Toyota ,Toyota Yaris,225
1094,2011,7,Volvo ,Volvo V60,222
1095,2011,7,Peugeot ,Peugeot 508,220
1096,2011,7,Ford ,Ford Mondeo,208
1097,2011,7,Audi ,Audi A4,192
1098,2011,7,Opel ,Opel Astra,176
1099,2011,7,Volvo ,Volvo XC60,172
1100,2011,7,Peugeot ,Peugeot 3008,145
1101,2011,7,Volkswagen ,Volkswagen Tiguan,115
1102,2011,8,Volkswagen ,Volkswagen Golf,668
1103,2011,8,Ford ,Ford Focus,520
1104,2011,8,Volkswagen ,Volkswagen Passat,406
1105,2011,8,Mitsubishi ,Mitsubishi ASX,338
1106,2011,8,Volkswagen ,Volkswagen Polo,305
1107,2011,8,Skoda ,Skoda Octavia,274
1108,2011,8,Toyota ,Toyota Avensis,266
1109,2011,8,Nissan ,Nissan Qashqai,262
1110,2011,8,Toyota ,Toyota Auris,243
1111,2011,8,Volvo ,Volvo V70,232
1112,2011,8,Ford ,Ford Mondeo,230
1113,2011,8,Volkswagen ,Volkswagen Tiguan,222
1114,2011,8,Audi ,Audi A4,193
1115,2011,8,Volvo ,Volvo V50,178
1116,2011,8,Peugeot ,Peugeot 508,173
1117,2011,8,Toyota ,Toyota Yaris,153
1118,2011,8,Volvo ,Volvo V60,151
1119,2011,8,Opel ,Opel Astra,147
1120,2011,8,Peugeot ,Peugeot 3008,142
1121,2011,8,Volvo ,Volvo XC60,72
1122,2011,9,Volkswagen ,Volkswagen Golf,608
1123,2011,9,Ford ,Ford Focus,440
1124,2011,9,Nissan ,Nissan Qashqai,430
1125,2011,9,Volvo ,Volvo V70,372
1126,2011,9,Volkswagen ,Volkswagen Passat,342
1127,2011,9,Skoda ,Skoda Octavia,331
1128,2011,9,Toyota ,Toyota Avensis,321
1129,2011,9,Volvo ,Volvo XC60,301
1130,2011,9,Volvo ,Volvo V60,252
1131,2011,9,Ford ,Ford Mondeo,239
1132,2011,9,Toyota ,Toyota Auris,229
1133,2011,9,Volkswagen ,Volkswagen Tiguan,225
1134,2011,9,Volkswagen ,Volkswagen Polo,220
1135,2011,9,Audi ,Audi A4,205
1136,2011,9,Peugeot ,Peugeot 508,184
1137,2011,9,Peugeot ,Peugeot 3008,169
1138,2011,9,Volvo ,Volvo V50,163
1139,2011,9,Toyota ,Toyota Yaris,154
1140,2011,9,Opel ,Opel Astra,111
1141,2011,9,Mitsubishi ,Mitsubishi ASX,107
1142,2011,10,Volkswagen ,Volkswagen Golf,667
1143,2011,10,Ford ,Ford Focus,428
1144,2011,10,Volkswagen ,Volkswagen Tiguan,367
1145,2011,10,Volkswagen ,Volkswagen Passat,361
1146,2011,10,Skoda ,Skoda Octavia,357
1147,2011,10,Volvo ,Volvo V70,325
1148,2011,10,Nissan ,Nissan Qashqai,312
1149,2011,10,Ford ,Ford Mondeo,308
1150,2011,10,Toyota ,Toyota Auris,307
1151,2011,10,Volvo ,Volvo V60,296
1152,2011,10,Toyota ,Toyota Avensis,288
1153,2011,10,Volkswagen ,Volkswagen Polo,227
1154,2011,10,Volvo ,Volvo XC60,192
1155,2011,10,Audi ,Audi A4,184
1156,2011,10,BMW ,BMW X3,145
